    ,nom                                            ,adr_num                                ,adr_voie                                        ,com_cp ,com_nom     ,tel1              ,freq_mnt     ,dermnt       ,lat_coor1        ,long_coor1
  0 ,"Plateau sportif de GrammontTerrain 9, 10, 11" ,                                       ,avenue albert Einstein                          , 34000 ,Montpellier ,334 67 64 87 70   ,tous les ans ,2019-05-15   ,3.93392108647369 ,43.6136351580956
  1 ,MEDIATHEQUE JEAN-JACQUES ROUSSEAU              ,                                       ,                                                ,     0 ,            ,                  ,             ,             ,                 ,  
  2 ,MEDIATHEQUE William SHAKESPEARE                ,                                       ,                                                ,     0 ,            ,                  ,             ,             ,                 ,  
  3 ,MIBI                                           ,                                       ,                                                ,     0 ,            ,                  ,             ,             ,                 ,  
  4 ,MAISON POUR TOUS LEO LAGRANGE                  ,155                                    ,Rue de Bologne                                  , 34172 ,Montpellier ,+334 67 40 33 57  ,Tous les ans ,2020-10-06   ,                 ,  
 34 ,Siège du CCAS (Banque d'Acceuil)               ,125                                    ,place  Thermidor                                , 34000 ,Montpellier ,+334 99  52 77 53 ,             ,             ,-                ,43.6020241317034
 69 ,Piscine centre nautique neptune                ,-                                      ,-                                               ,     0 ,Montpellier ,-                 ,             ,             ,3.81486877448227 ,43.6203748790079
 40 ,Club Maillan                                   ,-                                      ,Rue Georges Brassens                            , 34000 ,Montpellier ,+334 67 52 77 92  ,             ,             ,                 ,  
136 ,S.F.M.A.                                       ,                                       ,avenue albert Einstein                          ,     0 ,Montpellier ,"
                                                                                                                                                                   334 67 22 83 78"  ,             ,             ,3.93573865229816 ,43.615604406629
108 ,Vestiaire/tribune CLAUDE BEAL                  ,419                                    ,avenue du Dr Jacques Fourcade 34000 Montpellier , 34000 ,MONTPELLIER ,334 67 65 70 86   ,Tout les ans ,2019-11-01   ,3.89668282061293 ,43.5911769531706
270 ,Zoo de Lunaret                                 ,                                       ,avenue agropolis                                , 34090 ,Montpellier ,334 67 54 45 20   ,Tous les ans ,2019-05-14   ,3.87346840734586 ,43.6409437259243
272 ,Centre Culturel Rabelais                       ,29                                     ,boulevard Sarrail                               , 34000 ,Montpellier ,334 67 34 71 33   ,2019-12-01   ,Tous les ans ,3.88032026773112 ,43.6106902122358
273 ,                                               ,"1 place Jacques Mirouse, MONTPELLIER" ,"1 place Jacques Mirouse, MONTPELLIER"          , 34000 ,Montpellier ,                  ,             ,             ,3.86982233698134 ,43.6127835439949
 85 ,Gymnase François Spinosi                       ,                                       ,Rue Pierre Gilles de Gennes                     , 34000 ,Montpellier ,334 67 15 90 35   ,tous les ans ,2018-12-6    ,3.91771559166406 ,43.5989740313524
